2021-12-28 19:12:815 INFO  CreateAccountPage :82 - Verifying the message[[ChromeDriver: chrome on WINDOWS (685e9adfdb6f06855181856c875104d4)] -> xpath: //h1[contains(text(),'My account')]]
2021-12-28 19:12:890 INFO  MyAccountPage :23 - verify the account name : [[ChromeDriver: chrome on WINDOWS (685e9adfdb6f06855181856c875104d4)] -> css selector: a[title='View my customer account'] span]
2021-12-28 19:12:101 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 19:12:821 INFO  HomePage :56 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (2df1dbe8daad28f3a8055af0ede8555f)] -> xpath: //a[normalize-space()='Sign in']]
2021-12-28 19:12:857 INFO  AuthenticationPage :37 - Click on the create an account tab : [[ChromeDriver: chrome on WINDOWS (2df1dbe8daad28f3a8055af0ede8555f)] -> xpath: //span[normalize-space()='Create an account']]<br>
2021-12-28 19:12:465 INFO  CreateAccountPage :59 - Entering firstname[[ChromeDriver: chrome on WINDOWS (2df1dbe8daad28f3a8055af0ede8555f)] -> xpath: //input[@id='customer_firstname']]
2021-12-28 19:12:590 INFO  CreateAccountPage :61 - Entering lastname[[ChromeDriver: chrome on WINDOWS (2df1dbe8daad28f3a8055af0ede8555f)] -> xpath: //input[@id='customer_lastname']]
2021-12-28 19:12:724 INFO  CreateAccountPage :63 - Entering password[[ChromeDriver: chrome on WINDOWS (2df1dbe8daad28f3a8055af0ede8555f)] -> xpath: //input[@id='passwd']]
2021-12-28 19:12:846 INFO  CreateAccountPage :65 - Entering address[[ChromeDriver: chrome on WINDOWS (2df1dbe8daad28f3a8055af0ede8555f)] -> xpath: //input[@id='address1']]
2021-12-28 19:12:01 INFO  CreateAccountPage :67 - Entering city[[ChromeDriver: chrome on WINDOWS (2df1dbe8daad28f3a8055af0ede8555f)] -> xpath: //input[@id='city']]
2021-12-28 19:12:249 INFO  CreateAccountPage :69 - Selecting the state[[ChromeDriver: chrome on WINDOWS (2df1dbe8daad28f3a8055af0ede8555f)] -> xpath: //select[@id='id_state']]
2021-12-28 19:12:445 INFO  CreateAccountPage :71 - Entering postalcode[[ChromeDriver: chrome on WINDOWS (2df1dbe8daad28f3a8055af0ede8555f)] -> xpath: //input[@id='postcode']]
2021-12-28 19:12:646 INFO  CreateAccountPage :73 - Entering contact number[[ChromeDriver: chrome on WINDOWS (2df1dbe8daad28f3a8055af0ede8555f)] -> xpath: //input[@id='phone_mobile']]
2021-12-28 19:12:793 INFO  CreateAccountPage :78 - Clicking on register link[[ChromeDriver: chrome on WINDOWS (2df1dbe8daad28f3a8055af0ede8555f)] -> xpath: //button[@id='submitAccount']]
2021-12-28 19:12:367 INFO  CreateAccountPage :87 - verifying error message : [[ChromeDriver: chrome on WINDOWS (2df1dbe8daad28f3a8055af0ede8555f)] -> css selector: div[class='alert alert-danger'] p]
2021-12-28 19:12:790 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 19:12:390 INFO  ShoppingCartPage :34 - closing shopping cart window : [[ChromeDriver: chrome on WINDOWS (3ee96cb7414887d377bd850176e1b817)] -> xpath: //span[@title='Close window']]<br>
2021-12-28 19:12:93 INFO  ShoppingCartPage :39 - verifying delete icon : [[ChromeDriver: chrome on WINDOWS (3ee96cb7414887d377bd850176e1b817)] -> xpath: //a[@class='ajax_cart_block_remove_link']]<br>
2021-12-28 19:12:467 INFO  ShoppingCartPage :47 - removing item from cart : [[ChromeDriver: chrome on WINDOWS (3ee96cb7414887d377bd850176e1b817)] -> xpath: //a[@class='ajax_cart_block_remove_link']]<br>
2021-12-28 19:12:637 INFO  ShoppingCartSummaryPage :30 - verifying empty cart message : Proxy element for: DefaultElementLocator 'By.xpath: //p[@class='alert alert-warning']'<br>
2021-12-28 19:12:366 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 19:12:417 INFO  OurStoresPage :32 - accepting the alert : [[ChromeDriver: chrome on WINDOWS (d723d7a440fc452fa5a99aaa49d784fe)] -> css selector: .dismissButton]
2021-12-28 19:12:390 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 19:12:478 INFO  SummerDressesPage :48 - verifying summer page text : [[ChromeDriver: chrome on WINDOWS (8ce64cd8e68b56d3c1c99e90d8699018)] -> xpath: (//span[@class='cat-name'])[1]]
2021-12-28 19:12:416 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 19:12:111 INFO  SummerDressesPage :48 - verifying summer page text : [[ChromeDriver: chrome on WINDOWS (be369876820ca0101fa839a6c80ea9c0)] -> xpath: (//span[@class='cat-name'])[1]]
2021-12-28 19:12:148 INFO  SummerDressesPage :53 - moving slider to change price : [[ChromeDriver: chrome on WINDOWS (be369876820ca0101fa839a6c80ea9c0)] -> xpath: //div[@id='left_column']//a[2]]
